185.191.171.36 bot - "2023-06-03 00:04:54" https://ejournal.univ-tridinanti.ac.id/index.php/Didascein/index 200 "Mozilla/5.0 (compatible; SemrushBot/7~bl; +http://www.semrush.com/bot.html)"
66.249.72.23 bot - "2023-06-03 00:09:07" https://ejournal.univ-tridinanti.ac.id/index.php/Didactique/index 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.5735.90 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
207.46.13.213 bot - "2023-06-03 01:09:17" https://ejournal.univ-tridinanti.ac.id/index.php/Didascein/article/view/78 200 "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36"
66.249.72.31 bot - "2023-06-03 01:11:24" https://ejournal.univ-tridinanti.ac.id/index.php/Jietri/article/view/89 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.72.23 bot - "2023-06-03 01:30:21" https://ejournal.univ-tridinanti.ac.id/index.php/Jietri/article/view/91 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.72.27 bot - "2023-06-03 01:31:55" https://ejournal.univ-tridinanti.ac.id/index.php/Jietri/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.72.31 bot - "2023-06-03 01:35:04" https://ejournal.univ-tridinanti.ac.id/index.php/Jietri/issue/view/18 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.72.23 bot - "2023-06-03 01:35:55" https://ejournal.univ-tridinanti.ac.id/index.php/Didascein/article/download/69/42/409 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.72.27 bot - "2023-06-03 01:42:25" https://ejournal.univ-tridinanti.ac.id/index.php/Jietri/article/view/92 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
185.191.171.33 bot - "2023-06-03 02:09:07" https://ejournal.univ-tridinanti.ac.id/index.php/Jietri/index 200 "Mozilla/5.0 (compatible; SemrushBot/7~bl; +http://www.semrush.com/bot.html)"
66.249.72.31 bot - "2023-06-03 02:25:53" https://ejournal.univ-tridinanti.ac.id/index.php/TriAgro/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
95.108.213.194 bot - "2023-06-03 02:41:22" https://ejournal.univ-tridinanti.ac.id/index.php/inovarsi/index 200 "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)"
114.79.23.133 - - "2023-06-03 02:42:11" https://ejournal.univ-tridinanti.ac.id/index.php/Didascein/article/view/62 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36"
114.79.23.133 - - "2023-06-03 02:42:35" https://ejournal.univ-tridinanti.ac.id/index.php/Didascein/article/download/62/38/411 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36"
114.79.23.133 - - "2023-06-03 02:43:44" https://ejournal.univ-tridinanti.ac.id/index.php/Didascein/article/download/62/38/411 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36"
66.249.72.27 bot - "2023-06-03 02:46:35" https://ejournal.univ-tridinanti.ac.id/index.php/Didascein/article/download/77/36/410 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.72.27 bot - "2023-06-03 02:48:34" https://ejournal.univ-tridinanti.ac.id/index.php/Didascein/issue/view/14 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.72.27 bot - "2023-06-03 02:54:47" https://ejournal.univ-tridinanti.ac.id/index.php/Jietri/article/view/90 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.72.23 bot - "2023-06-03 02:54:57" https://ejournal.univ-tridinanti.ac.id/index.php/Jietri/issue/view/18 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
180.241.126.249 - - "2023-06-03 03:03:41" https://ejournal.univ-tridinanti.ac.id/index.php/Didascein/article/view/62 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"
180.241.126.249 - - "2023-06-03 03:03:41" https://ejournal.univ-tridinanti.ac.id/index.php/Didascein/article/view/62 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"
180.241.126.249 - - "2023-06-03 03:03:57" https://ejournal.univ-tridinanti.ac.id/index.php/Didascein/article/download/62/38/411 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"
66.249.72.23 bot - "2023-06-03 03:05:48" https://ejournal.univ-tridinanti.ac.id/index.php/JEM/issue/view/9 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
180.241.126.249 - - "2023-06-03 03:07:00" https://ejournal.univ-tridinanti.ac.id/index.php/Didascein/article/view/62 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"
66.249.72.27 bot - "2023-06-03 03:10:15" https://ejournal.univ-tridinanti.ac.id/index.php/kompetitif/issue/view/17 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.72.27 bot - "2023-06-03 03:17:33" https://ejournal.univ-tridinanti.ac.id/index.php/ratri/issue/view/4 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.72.31 bot - "2023-06-03 03:19:55" https://ejournal.univ-tridinanti.ac.id/index.php/Didascein/article/view/61 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.72.23 bot - "2023-06-03 03:20:54" https://ejournal.univ-tridinanti.ac.id/index.php/Didactique/issue/view/15 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.72.27 bot - "2023-06-03 03:23:20" https://ejournal.univ-tridinanti.ac.id/index.php/strategi/issue/view/8 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
207.46.13.213 bot - "2023-06-03 03:33:20" https://ejournal.univ-tridinanti.ac.id/index.php/Didactique/article/view/51 200 "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36"
202.67.37.224 - - "2023-06-03 03:35:13" https://ejournal.univ-tridinanti.ac.id/index.php/ratri/article/view/85 200 "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Mobile Safari/537.36"
202.67.37.254 - - "2023-06-03 03:36:31" https://ejournal.univ-tridinanti.ac.id/index.php/ratri/article/download/85/61/663 200 "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Mobile Safari/537.36"
202.67.37.254 - - "2023-06-03 03:36:40" https://ejournal.univ-tridinanti.ac.id/index.php/ratri/article/download/85/61/663 200 "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Mobile Safari/537.36"
66.249.72.31 bot - "2023-06-03 03:40:54" https://ejournal.univ-tridinanti.ac.id/index.php/Jietri/index 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
103.105.32.93 - - "2023-06-03 03:51:40" https://ejournal.univ-tridinanti.ac.id/index.php/ratri/article/download/85/61/663 200 "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Mobile Safari/537.36"
103.105.32.93 - - "2023-06-03 03:51:53" https://ejournal.univ-tridinanti.ac.id/index.php/ratri/article/download/85/61/663 200 "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Mobile Safari/537.36"
103.105.32.93 - - "2023-06-03 03:59:48" https://ejournal.univ-tridinanti.ac.id/index.php/ratri/article/download/85/61/663 200 "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Mobile Safari/537.36"
103.105.32.93 - - "2023-06-03 04:00:48" https://ejournal.univ-tridinanti.ac.id/index.php/ratri/article/download/85/61/663 200 "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Mobile Safari/537.36"
103.105.32.93 - - "2023-06-03 04:03:37" https://ejournal.univ-tridinanti.ac.id/index.php/ratri/article/download/85/61/663 200 "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Mobile Safari/537.36"
114.125.42.34 - - "2023-06-03 04:06:40" https://ejournal.univ-tridinanti.ac.id/index.php/strategi/article/view/70 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/113.0"
114.125.41.86 - - "2023-06-03 04:06:50" https://ejournal.univ-tridinanti.ac.id/index.php/strategi/article/download/70/46/496 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/113.0"
114.125.41.86 - - "2023-06-03 04:06:52" https://ejournal.univ-tridinanti.ac.id/index.php/strategi/article/download/70/46/496 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/113.0"
157.55.39.215 bot - "2023-06-03 04:07:49" https://ejournal.univ-tridinanti.ac.id/index.php/Didactique/article/view/54 200 "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36"
