18.226.187.60 bot - "2024-12-27 00:01:05" https://ejournal.univ-tridinanti.ac.id/index.php/ratri/article/view/82 200 "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; ClaudeBot/1.0; +claudebot@anthropic.com)"
18.218.250.241 bot - "2024-12-27 00:01:20" https://ejournal.univ-tridinanti.ac.id/index.php/strategi/article/download/218/154/1576 200 "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; ClaudeBot/1.0; +claudebot@anthropic.com)"
3.12.34.211 bot - "2024-12-27 00:01:48" https://ejournal.univ-tridinanti.ac.id/index.php/strategi/article/download/437/184/1859 200 "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; ClaudeBot/1.0; +claudebot@anthropic.com)"
130.193.38.151 - - "2024-12-27 00:02:31" https://ejournal.univ-tridinanti.ac.id/index.php/strategi/article/download/352/141/1465 200 "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36"
130.193.38.151 - - "2024-12-27 00:03:25" https://ejournal.univ-tridinanti.ac.id/index.php/strategi/article/download/364/142/1481 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Vivaldi/6.1.3035.75"
130.193.38.151 - - "2024-12-27 00:03:28" https://ejournal.univ-tridinanti.ac.id/index.php/strategi/article/download/935/375/3433 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/114.0"
130.193.38.151 - - "2024-12-27 00:03:31" https://ejournal.univ-tridinanti.ac.id/index.php/strategi/article/view/935 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 OPR/99.0.0.0"
66.249.79.162 bot - "2024-12-27 00:03:50" https://ejournal.univ-tridinanti.ac.id/index.php/strategi/article/download/218/154/1576 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.6778.139 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
130.193.38.151 - - "2024-12-27 00:04:37" https://ejournal.univ-tridinanti.ac.id/index.php/strategi/article/download/366/144/1489 200 "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36"
130.193.38.151 - - "2024-12-27 00:05:45" https://ejournal.univ-tridinanti.ac.id/index.php/strategi/article/download/368/146/1496 200 "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; Trident/6.0)"
130.193.38.151 - - "2024-12-27 00:06:55" https://ejournal.univ-tridinanti.ac.id/index.php/trisepa/article/view/381 200 "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; Trident/6.0)"
130.193.38.151 - - "2024-12-27 00:07:12" https://ejournal.univ-tridinanti.ac.id/index.php/trisepa/article/view/643 200 "Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko"
130.193.38.151 - - "2024-12-27 00:07:14" https://ejournal.univ-tridinanti.ac.id/index.php/trisepa/article/view/232 200 "Mozilla/5.0 (X11; Ubuntu; Linux i686; rv:109.0) Gecko/20100101 Firefox/114.0"
130.193.38.151 - - "2024-12-27 00:07:19" https://ejournal.univ-tridinanti.ac.id/index.php/trisepa/issue/view/49 200 "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)"
130.193.38.151 - - "2024-12-27 00:07:23" https://ejournal.univ-tridinanti.ac.id/index.php/trisepa/issue/view/5 200 "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36"
130.193.38.151 - - "2024-12-27 00:07:59" https://ejournal.univ-tridinanti.ac.id/index.php/trisepa/article/view/257 200 "Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko"
